workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
starcoder_7b_mqa_mqa_prefill_b4_s256,int8_wo,4,51200,1808318.1990613516,0.5662720203399658,1.3608959913253784,15.797,242.00666666666666,132731.1344729269,0.3666605924666489,727.7157360406092,37.758057,28.31360101699829,1.289583,N/A
starcoder_7b_mqa_mqa_prefill_b4_s512,int8_wo,4,102400,2127659.5788106034,0.9615359902381897,2.9716479778289795,25.014,218.42166666666665,165094.94501780713,0.4560633840270915,1156.8854961832062,77.279282,48.127999901771545,8.446153,N/A
starcoder_7b_mqa_mqa_prefill_b4_s1024,int8_wo,4,204800,2224694.16166139,1.837056040763855,4.208640098571777,46.977,236.36175,191286.39423117685,0.5284154536772842,1713.6326530612246,136.365278,92.05759763717651,17.523938,N/A
starcoder_7b_mqa_mqa_prefill_b4_s2048,int8_wo,4,409600,1594578.5017066668,5.135359764099121,8.256511688232422,107.313,201.34583333333333,163859.60120654583,0.45265083206228135,2462.6257668711655,229.806107,256.8703889846802,38.937945,N/A
starcoder_7b_mqa_mqa_prefill_b4_s4096,int8_wo,4,819200,1415803.9523481922,11.495424270629883,19.764223098754883,254.388,219.18009999999998,192995.14586786952,0.5331357620659379,3634.6757679180887,439.83031,578.6111831665039,75.404036,N/A
starcoder_7b_mqa_mqa_prefill_b4_s8192,int8_wo,4,1638400,1086587.4609635107,29.97043228149414,37.301246643066406,619.677,263.2242380952381,221037.68949265117,0.6106013521896442,5747.732368896925,776.436786,1507.8399658203125,208.411178,N/A
starcoder_7b_mqa_mqa_prefill_b16_s128,int8_wo,16,102400,2197802.1918190606,0.9308159947395325,1.9066879749298096,11.704,284.25399999999996,156710.2589140427,0.43290126771834997,1063.0839694656488,91.245196,46.592000126838684,32.84385,N/A
starcoder_7b_mqa_mqa_prefill_b16_s256,int8_wo,16,204800,2408187.8989599086,1.6998399496078491,3.6915199756622314,18.318,236.38299999999998,176761.76240378496,0.48829216133642256,1462.857142857143,162.696599,85.04319787025452,21.202142,N/A
starcoder_7b_mqa_mqa_prefill_b16_s512,int8_wo,16,409600,2047082.9303679082,3.9976959228515625,5.883903980255127,56.169,163.6898,158842.63027871604,0.4387917963500443,1859.5337423312883,282.572432,200.08959770202637,83.366949,N/A
starcoder_7b_mqa_mqa_prefill_b16_s1024,int8_wo,16,819200,1917315.6555037422,8.545280456542969,8.582143783569336,161.821,186.628875,164856.99682441034,0.4554060685757192,2292.641638225256,510.945844,427.26402282714844,125.135105,N/A
starcoder_7b_mqa_mqa_prefill_b16_s2048,int8_wo,16,1638400,1828780.4745221157,17.911808013916016,18.43507194519043,347.326,204.7406923076923,187926.3008555452,0.5191334277777492,2903.493670886076,978.343057,895.8975791931152,205.054394,N/A
starcoder_7b_mqa_mqa_prefill_b16_s4096,int8_wo,16,3276800,1553850.5745130386,42.16934585571289,71.34822082519531,919.521,277.75041379310346,211812.95460267595,0.5851186591234142,3970.027958993476,2222.973771,2108.82568359375,336.374802,N/A
starcoder_7b_mqa_mqa_prefill_b16_s8192,int8_wo,16,6553600,650297.4616478663,201.1453399658203,247.3052215576172,3881.673,325.94874999999996,132285.94436210537,0.3654307855306778,6017.029815428301,3073.378277,10077.849578857422,661.849028,N/A
starcoder_7b_mqa_mqa_prefill_b32_s128,int8_wo,32,204800,2117522.556655561,1.9189759492874146,5.093376159667969,46.244,197.81875000000002,150986.06660100096,0.4170885817707209,1421.061224489796,139.327007,96.71679735183716,95.407412,N/A
starcoder_7b_mqa_mqa_prefill_b32_s256,int8_wo,32,409600,1861764.0689152714,4.3970561027526855,6.907904148101807,62.41,155.54760000000002,136654.07842288297,0.37749745420685904,1759.0184049079755,267.65268,220.0063943862915,44.427792,N/A
starcoder_7b_mqa_mqa_prefill_b32_s512,int8_wo,32,819200,1666840.2584378852,9.326592445373535,13.624320030212402,180.048,202.522,129337.84312155053,0.35728685945179706,2068.9692832764504,433.790373,491.46881103515625,86.040417,N/A
starcoder_7b_mqa_mqa_prefill_b32_s1024,int8_wo,32,1638400,1602002.5729215117,20.412416458129883,25.587711334228516,383.755,241.71540000000002,137745.35889210727,0.38051204113841786,2429.4538878842677,852.729502,1022.7199554443359,185.642233,N/A
starcoder_7b_mqa_mqa_prefill_b32_s2048,int8_wo,32,3276800,1590813.0296172195,41.009151458740234,50.988033294677734,820.678,275.9510740740741,163472.65960770275,0.4515819326179634,2992.790307548928,1687.518389,2059.82723236084,361.638436,N/A
starcoder_7b_mqa_mqa_prefill_b32_s4096,int8_wo,32,6553600,1502153.454275386,87.05741119384766,89.41363525390625,1777.779,310.8777454545455,204765.86786113476,0.5656515686771678,4032.0302886890677,4489.830225,4362.803268432617,768.125976,N/A
starcoder_7b_mqa_mqa_prefill_b32_s8192,int8_wo,32,13107200,1011385.9604195388,258.6408996582031,407.4393615722656,6049.28,325.19113586956524,205739.9186975784,0.5683423168441393,6064.38540424517,7777.944344,12959.642028808594,1705.040052,N/A
